1180,839,780,709,25,26,15,10
1181,1241,1176,1116,54,60,41,19
1183,1479,1418,1241,99,97,33,32
1184,763,795,748,39,44,37,22
1185,4844,5113,5443,234,248,421,317
1187,618,691,667,35,31,41,37
1188,663,592,544,42,41,24,17
1189,1115,1130,1014,78,65,38,26
1190,87,117,111,3,5,7,7
1191,154,170,152,12,12,11,7
1192,2277,2312,2247,139,165,89,51
1193,222,221,196,6,7,12,7
1194,6346,6254,5934,435,351,340,183
1195,1783,1682,1412,103,80,175,103
1196,1226,1099,994,89,90,42,35
1197,351,345,315,22,19,8,5
1198,268,263,233,22,22,6,9
1199,2137,2172,2022,146,133,164,139
1200,214,206,172,7,20,5,3
1202,7161,6889,6694,516,435,374,345
1203,1313,1187,1101,79,56,46,25
1204,735,711,646,39,51,21,16
1206,277,261,254,19,14,10,10
1207,317,316,293,30,15,6,7
1208,131,144,130,2,10,10,11
1209,778,650,520,62,41,19,16
1210,228,231,225,14,9,9,9
1211,1395,1413,1266,81,82,58,34
1212,718,695,695,58,43,29,18
1213,1341,1249,1260,92,75,32,29
1214,158,149,160,13,8,6,13
1215,140,124,132,10,1,10,6
1216,894,880,817,41,37,104,75
1219,164,160,157,13,7,5,7
1224,3225,3115,2437,269,251,96,68
1225,372,403,395,27,21,11,7
1227,643,599,556,36,34,33,30
1228,660,648,655,36,36,20,19
1229,1235,1134,888,94,55,39,29
1230,312,309,285,12,12,17,11
1231,1948,1948,1892,124,118,100,67
1232,2276,2196,2176,130,119,97,95
1233,130,128,115,6,9,10,10
1234,169,164,156,7,5,13,3
1235,1159,995,801,99,79,43,21
1236,1011,998,937,74,71,52,24
1237,1667,1584,1586,108,85,49,36
1238,2670,2448,2391,151,118,62,39
1239,620,646,573,34,48,29,13
1240,627,651,653,33,43,29,18
1241,1356,1303,1298,64,67,49,43
1242,135,125,136,7,7,3,2
1243,1253,1218,1163,77,58,43,31
1244,7923,7424,7334,592,532,416,294
1245,943,874,815,72,48,36,26
1246,2217,2140,2034,154,129,85,81
1247,312,360,380,21,21,11,10
1248,2197,2121,2115,111,98,38,24
1249,10122,9277,8997,815,655,462,386
1250,1974,1842,1749,103,89,39,30
1252,786,765,694,48,56,26,21
1254,2116,1803,1588,124,76,53,21
1255,647,561,484,49,34,25,19
1257,351,338,331,26,11,18,10
1258,1190,1226,1063,64,63,29,22
1259,702,659,663,49,43,26,15
1260,302,256,224,25,13,10,8
1261,668,669,595,41,28,13,10
1262,6886,7074,6774,565,584,366,271
1263,3772,3828,3806,221,220,215,168
1264,1016,999,925,73,74,42,31
1265,3456,3410,3529,205,237,138,126
1266,2576,2441,2351,92,106,260,201
1267,1025,1025,1089,46,58,37,23
1268,246,250,238,12,9,16,8
1269,3454,3524,3633,266,255,341,232
1272,1500,1492,1523,93,78,94,73
1273,1800,1610,1516,131,108,67,56
1274,645,636,656,37,52,31,23
1275,2569,2497,2332,158,133,60,44
1276,1624,1524,1511,118,76,45,29
1277,117,119,139,9,7,4,3
1279,80,97,92,3,5,7,4
1280,138,154,134,10,10,11,11
1281,4483,4276,3163,247,175,101,76
1282,258,256,266,18,19,9,9
1283,22456,22258,23114,1823,1785,1002,871
1284,694,649,539,46,35,18,17
1285,1229,1129,1057,81,61,30,22
1286,951,939,891,55,49,36,23
1288,2717,2437,1930,133,102,51,38
1289,6520,6109,6135,305,231,399,284
1290,1273,1206,1205,77,57,44,44
1291,842,789,836,50,35,36,25
1293,148,176,166,6,14,7,6
1294,886,828,791,60,46,37,29
1295,686,629,385,62,56,15,17
1296,420,400,330,31,22,19,11
1297,867,759,762,61,31,19,15
1298,150,128,109,17,11,3,5
1299,584,527,535,43,44,9,13
1301,2547,2424,2366,172,126,91,67
1302,163,157,156,11,5,10,4
1303,1699,1686,1582,106,101,85,80
1304,2924,2734,2514,222,195,216,177
1305,2213,2276,2159,87,122,269,188
1306,1641,1611,1496,93,88,204,155
1307,836,848,868,65,57,25,18
1308,807,815,764,25,29,23,20
1309,85,93,83,6,3,6,3
1310,251,222,251,12,10,18,16
1311,44,45,34,2,4,2,6
1313,8711,7560,5300,449,289,89,47
1314,1729,1600,1447,130,103,69,37
1317,330,288,255,28,13,18,6
1318,726,685,643,37,24,12,7
1319,466,471,433,41,30,14,9
1320,3791,3651,3281,238,220,166,109
1321,888,912,670,53,53,30,11
